fecha_inicio,fecha_fin,codigo,descripcion,categoria,descuento,precio_normal,precio_oferta,imagen
2025-11-12,2025-12-03,7861042507871,Akí Fideos Broca 400 g,Alimentos,15,1.03,0.88,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042507871.png
2025-11-12,2025-12-03,7861042564218,Akí Harina de Maíz Precocida Amarilla 1.000 g,Alimentos,18,1.69,1.39,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042564218.png
2025-11-12,2025-12-03,7861042564195,Akí Harina de Maíz Amarillo 500 g,Alimentos,22,0.89,0.69,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042564195.png
2025-11-12,2025-12-03,7861042557371,Akí Papas Fritas Artesanales 200 g,Alimentos,25,2.50,1.88,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042557371.png
2025-11-12,2025-12-03,7861042557388,Akí Papas Fritas Palito 200 g,Alimentos,25,2.51,1.88,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042557388.png
2025-11-12,2025-12-03,7861042574965,Akí Papas Bbq 200 g,Alimentos,25,2.47,1.85,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042574965.png
2025-11-12,2025-12-03,7401065628179,Esy Lava Twisters Hot Chili Lime 50 g,Alimentos,87,0.67,0.09,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7401065628179.png
2025-11-13,2025-12-03,7861042541004,Akí Champiñón Entero 220 g,Alimentos,25,1.82,1.37,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042541004.png
2025-11-13,2025-12-03,7861042541028,Akí Champiñón Rebanado 220 g,Alimentos,25,1.82,1.37,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042541028.png
2025-11-13,2025-12-03,7702560041761,Fluocardent Crema Dental Triple Acción Max 75 ml,Higiene,30,1.48,1.04,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702560041761.png
2025-11-13,2025-12-03,7702277519003,Aromasense Jabón Líquido Frutos Rojos Doypack 800 ml,Higiene,25,4.79,3.59,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702277519003.png
2025-11-13,2025-12-03,7702277621980,Aromasense Splash Intense Love 230 ml,Higiene,25,4.97,3.73,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702277621980.png
2025-11-13,2025-12-03,18718258002,Romeo Detergente 400 g,Limpieza,15,0.99,0.84,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/18718258002.png
2025-11-13,2025-12-03,18718258040,Romeo Detergente 3 kg,Limpieza,15,5.79,4.92,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/18718258040.png
2025-11-13,2025-12-03,7861042541226,Akí Cónica Verde 1 u,Limpieza,25,0.56,0.42,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042541226.png
2025-11-13,2025-12-03,7861042573128,Akí Esponja en Ocho 2 u,Limpieza,25,1.01,0.76,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861042573128.png
2025-11-13,2025-12-03,7861223825268,Gama Splash Woman Luminous 236 ml,Higiene,25,2.99,2.24,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861223825268.png
2025-11-13,2025-12-03,7702277977872,Aromasense Splash Pure Diamonds 230 ml,Higiene,25,4.97,3.73,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702277977872.png
2025-11-13,2025-12-03,18718405062,Spum Suavizante Fresca Primavera 1.000 ml,Limpieza,25,2.59,1.94,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/18718405062.png
2025-11-13,2025-12-03,7861223825343,Gama Eliminador de Olores para Baño Brisa Marina 100 ml,Limpieza,30,1.99,1.39,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861223825343.png
2025-11-13,2025-12-03,7702560035838,Fluocardent Crema Dental Multiacción 225 ml,Higiene,30,3.99,2.79,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7702560035838.png
2025-11-13,2025-12-03,7861223815412,Gama Bálsamo Pies Cansados Manzanilla Y Miel 200 ml,Higiene,35,1.99,1.29,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861223815412.png
2025-11-12,2025-12-03,5011435624582,Encendedores de Bolsillo/Fosforera/Piedra Semi corto,Hogar,22,0.89,0.69,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/5011435624582.png
2025-11-12,2025-12-03,7861026910987,Jarro Lechero 1/2 lt,Hogar,22,8.76,6.79,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026910987.png
2025-11-12,2025-12-03,197639196003,Toalla de Cocina Beige Líneas 45x65 cm,Hogar,24,3.26,2.49,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/197639196003.png
2025-11-12,2025-12-03,197639195969,Delantal de Cocina Beige Líneas 65x73 cm,Hogar,25,7.54,5.69,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/197639195969.png
2025-11-12,2025-12-03,7861026976310,Perol Blackstone 16 cm,Hogar,25,16.33,12.29,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026976310.png
2025-11-12,2025-12-03,7861026923260,Sartén Milano 24 cm,Hogar,25,8.91,6.69,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026923260.png
2025-11-12,2025-12-03,7861026920696,Molde de Pizza 30 cm,Hogar,25,5.46,4.09,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026920696.png
2025-11-12,2025-12-03,7861026924632,Jarro Hervidor Blackstone Gris 1.2 l,Hogar,25,9.48,7.09,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026924632.png
2025-11-12,2025-12-03,7861026914176,Sartén Milano 16 cm,Hogar,25,5.74,4.29,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026914176.png
2025-11-12,2025-12-03,7861026966113,Set Jarra Plástica + 4 Vasos 5 pz,Hogar,25,4.27,3.19,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026966113.png
2025-11-12,2025-12-03,7861026972275,Sartén Milano 20 cm,Hogar,25,8.56,6.39,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026972275.png
2025-11-12,2025-12-03,7861026911359,Molde Alto 24 cm,Hogar,25,6.02,4.49,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026911359.png
2025-11-12,2025-12-03,197639195891,Set Guante + Coge Olla Cocina Gris Líneas 2 pz,Hogar,26,4.69,3.49,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/197639195891.png
2025-11-12,2025-12-03,7861026972534,Combo Ollas de Presión 2-4 lt,Hogar,30,74.58,52.19,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/7861026972534.png
2025-11-13,2025-12-03,810072405722,Sanduchera Negro Unidad,Hogar,32,18.99,12.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/810072405722.png
2025-11-13,2025-12-03,810072403254,Batidora Inmersión 3 en 1 Negro Unidad,Hogar,44,22.99,12.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/810072403254.png
2025-11-13,2025-12-03,813966024689,Cafetera 5 Tazas,Hogar,39,22.99,13.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/813966024689.png
2025-11-13,2025-12-03,813966022548,Tetera Eléctrica 1.8 Lt Rojo Metal Unidad,Hogar,32,21.99,14.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/813966022548.png
2025-11-13,2025-12-03,810072402226,Exprimidor de Cítricos 27 Oz Unidad,Hogar,37,26.99,16.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/810072402226.png
2025-11-13,2025-12-03,810072403544,Tostadora 2 Rebanadas Rojo Unidad,Hogar,39,27.99,16.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/810072403544.png
2025-11-13,2025-12-03,810072404442,Picatodo Eléctrico 1.8 L 8 Tazas Negro Unidad,Hogar,33,26.99,17.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/810072404442.png
2025-11-13,2025-12-03,813966024207,Licuadora de Mano 2 Velocidades Unidad,Hogar,53,39.99,18.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/813966024207.png
2025-11-13,2025-12-03,813966025655,Hornilla Doble Unidad,Hogar,32,30.99,20.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/813966025655.png
2025-11-13,2025-12-03,810072405111,Wafflera Personal 6 Placas Unidad,Hogar,38,36.99,22.99,https://storage.googleapis.com/xiyimgengine/aki/2024/akipreciazo/810072405111.png
